order_id,amount,profit,quantity,category_id
B-25808,59,21,2,2
B-25810,92,42,2,2
B-25815,35,14,2,2
B-25816,391,113,8,2
B-25821,60,21,4,2
B-25825,115,25,6,2
B-25833,45,16,3,2
B-25834,16,5,1,2
B-25835,155,26,3,2
B-25837,263,50,5,2
B-25838,161,40,3,2
B-25843,45,0,2,2
B-25845,132,54,5,2
B-25850,148,24,3,2
B-25852,97,17,2,2
B-25852,50,16,1,2
B-25853,199,48,4,2
B-25854,149,48,6,2
B-25854,88,16,4,2
B-25856,74,29,3,2
B-25861,50,3,2,2
B-25862,121,41,4,2
B-25862,80,3,3,2
B-25863,189,87,7,2
B-25864,100,6,4,2
B-25866,51,14,2,2
B-25867,31,14,3,2
B-25873,66,12,3,2
B-25878,140,15,5,2
B-25880,108,37,2,2
B-25882,121,19,4,2
B-25885,349,0,7,2
B-25886,89,17,2,2
B-25891,121,41,4,2
B-25893,355,114,7,2
B-25893,83,12,3,2
B-25897,43,5,3,2
B-25898,147,73,3,2
B-25905,152,50,6,2
B-25906,78,27,3,2
B-25913,103,21,7,2
B-25914,125,22,3,2
B-25919,110,12,7,2
B-25922,52,18,2,2
B-25925,27,12,1,2
B-25933,81,-44,3,2
B-25938,59,25,3,2
B-25940,55,4,2,2
B-25943,48,20,4,2
B-25950,54,27,2,2
B-25950,133,5,5,2
B-25951,102,13,2,2
B-25951,120,23,5,2
B-25951,89,29,2,2
B-25953,81,41,3,2
B-25953,87,36,5,2
B-25954,44,10,3,2
B-25955,110,20,5,2
B-25957,147,73,3,2
B-25964,199,0,4,2
B-25970,111,9,4,2
B-25973,571,108,12,2
B-25977,27,1,1,2
B-25977,74,29,3,2
B-25978,341,160,7,2
B-25981,48,2,3,2
B-25984,304,97,6,2
B-25985,44,11,4,2
B-25987,299,0,6,2
B-25989,10,5,1,2
B-25993,44,8,2,2
B-25996,47,1,2,2
B-25999,26,-17,1,2
B-25999,93,-65,4,2
B-25999,352,74,8,2
B-26002,80,22,3,2
B-26005,87,10,3,2
B-26008,22,4,1,2
B-26010,29,3,2,2
B-26011,93,44,2,2
B-26021,49,21,1,2
B-26023,66,22,3,2
B-26023,59,21,2,2
B-26024,168,18,6,2
B-26025,155,5,3,2
B-26025,32,1,2,2
B-26030,50,25,5,2
B-26037,171,68,7,2
B-26038,52,14,2,2
B-26040,38,9,2,2
B-26042,36,15,3,2
B-26043,185,48,4,2
B-26043,122,50,7,2
B-26045,376,0,7,2
B-26045,27,5,1,2
B-26050,38,9,2,2
B-26051,80,22,3,2
B-26051,216,50,4,2
B-26052,25,7,2,2
B-26053,85,2,6,2
B-26053,162,55,3,2
B-26054,139,36,3,2
B-26054,138,11,5,2
B-26054,156,23,3,2
B-26055,227,48,5,2
B-26056,70,24,3,2
B-26061,109,52,2,2
B-26062,44,-40,3,2
B-26062,50,-17,2,2
B-26062,13,-2,1,2
B-26065,146,19,5,2
B-26073,290,110,9,2
B-26075,34,12,2,2
B-26076,91,22,2,2
B-26078,137,63,3,2
B-26081,79,33,4,2
B-26082,95,5,2,2
B-26085,40,17,2,2
B-26087,40,10,2,2
B-26087,180,0,8,2
B-26090,80,22,3,2
B-26091,158,69,3,2
B-26094,152,50,6,2
B-25601,8,-2,3,3
B-25603,12,1,2,3
B-25608,257,23,5,3
B-25615,68,20,5,3
B-25616,42,12,5,3
B-25616,22,-2,3,3
B-25616,14,-2,3,3
B-25618,12,0,2,3
B-25624,26,12,3,3
B-25625,97,29,2,3
B-25635,40,16,3,3
B-25638,154,39,3,3
B-25640,314,-239,13,3
B-25643,50,-44,2,3
B-25652,25,-2,5,3
B-25652,9,-6,2,3
B-25654,34,12,3,3
B-25655,44,-26,3,3
B-25655,7,-4,3,3
B-25655,6,-3,1,3
B-25656,6,3,1,3
B-25656,24,-1,2,3
B-25656,56,18,2,3
B-25656,13,-1,3,3
B-25661,19,-15,3,3
B-25661,7,-1,2,3
B-25667,11,-2,4,3
B-25670,24,1,2,3
B-25670,14,2,1,3
B-25693,76,-72,9,3
B-25698,27,-6,4,3
B-25698,7,-2,1,3
B-25700,7,-3,2,3
B-25701,33,-12,5,3
B-25703,32,-5,5,3
B-25703,231,-190,9,3
B-25711,100,-58,4,3
B-25714,11,-5,2,3
B-25725,23,-5,7,3
B-25730,18,8,2,3
B-25733,23,-6,4,3
B-25735,12,-2,3,3
B-25735,15,-7,1,3
B-25743,56,0,4,3
B-25751,32,7,3,3
B-25751,65,-4,6,3
B-25752,8,-2,2,3
B-25753,27,-20,2,3
B-25757,106,15,7,3
B-25757,14,5,1,3
B-25757,17,7,3,3
B-25759,20,-9,6,3
B-25771,148,59,3,3
B-25781,60,-49,8,3
B-25783,30,-6,2,3
B-25783,26,2,2,3
B-25784,15,4,1,3
B-25793,40,-33,5,3
B-25793,60,-12,4,3
B-25793,18,1,3,3
B-25797,31,1,2,3
B-25798,61,-50,4,3
B-25800,45,12,7,3
B-25808,210,50,4,3
B-25809,154,54,3,3
B-25809,53,24,1,3
B-25810,26,10,4,3
B-25810,29,8,5,3
B-25811,126,52,4,3
B-25812,259,47,5,3
B-25818,75,28,9,3
B-25818,28,14,4,3
B-25821,17,0,1,3
B-25829,345,38,7,3
B-25830,41,11,6,3
B-25833,64,27,5,3
B-25833,36,4,9,3
B-25838,70,26,5,3
B-25838,81,19,7,3
B-25843,255,74,5,3
B-25843,18,6,3,3
B-25848,16,8,2,3
B-25850,93,-1,2,3
B-25850,24,1,4,3
B-25851,10,2,2,3
B-25851,53,24,6,3
B-25852,24,1,2,3
B-25852,45,12,4,3
B-25853,30,14,3,3
B-25853,26,11,2,3
B-25854,436,131,9,3
B-25854,76,19,3,3
B-25854,40,16,3,3
B-25855,90,17,3,3
B-25855,98,12,2,3
B-25855,61,30,2,3
B-25858,22,8,3,3
B-25861,62,6,5,3
B-25861,44,14,3,3
B-25861,56,18,2,3
B-25864,17,5,1,3
B-25864,27,9,2,3
B-25870,473,113,9,3
B-25871,118,25,4,3
B-25873,7,1,1,3
B-25881,37,3,3,3
B-25883,146,42,5,3
B-25883,16,-15,4,3
B-25884,24,2,4,3
B-25888,18,2,3,3
B-25891,25,2,2,3
B-25891,97,36,7,3
B-25896,103,36,2,3
B-25897,33,10,3,3
B-25897,24,11,5,3
B-25901,158,38,3,3
B-25901,61,28,2,3
B-25903,19,8,2,3
B-25903,37,17,3,3
B-25903,204,94,4,3
B-25907,30,11,5,3
B-25910,259,47,5,3
B-25930,151,29,5,3
B-25930,58,17,2,3
B-25935,150,32,3,3
B-25940,13,3,2,3
B-25943,26,7,4,3
B-25943,137,38,5,3
B-25947,290,35,6,3
B-25949,24,11,3,3
B-25949,151,9,3,3
B-25950,158,-29,10,3
B-25951,111,11,9,3
B-25952,14,0,4,3
B-25952,44,14,3,3
B-25953,22,-8,4,3
B-25953,44,2,3,3
B-25956,59,10,2,3
B-25956,33,10,3,3
B-25958,105,25,2,3
B-25959,82,24,6,3
B-25959,23,8,2,3
B-25965,17,7,3,3
B-25973,398,111,8,3
B-25979,12,1,2,3
B-25985,32,8,5,3
B-25987,88,11,7,3
B-25989,44,14,3,3
B-25989,338,41,7,3
B-25991,13,5,2,3
B-25996,31,2,2,3
B-25997,16,6,3,3
B-25997,48,15,1,3
B-25999,222,74,5,3
B-26001,13,0,2,3
B-26003,128,47,4,3
B-26008,206,51,4,3
B-26010,18,2,3,3
B-26016,202,4,4,3
B-26018,61,8,4,3
B-26021,21,-12,3,3
B-26025,41,19,5,3
B-26026,255,76,9,3
B-26030,92,5,6,3
B-26040,113,24,4,3
B-26043,62,28,5,3
B-26043,79,5,6,3
B-26046,32,3,8,3
B-26049,100,28,2,3
B-26050,284,44,6,3
B-26051,85,24,10,3
B-26054,246,98,5,3
B-26056,47,20,7,3
B-26056,33,9,2,3
B-26056,15,6,2,3
B-26056,101,11,2,3
B-26056,31,9,2,3
B-26056,206,18,4,3
B-26058,212,97,7,3
B-26064,61,3,4,3
B-26067,53,2,4,3
B-26070,14,7,2,3
B-26071,21,4,3,3
B-26073,37,17,3,3
B-26073,122,11,4,3
B-26077,62,11,7,3
B-26079,18,3,2,3
B-26081,24,11,3,3
B-26086,25,2,2,3
B-26087,46,13,3,3
B-26088,11,5,2,3
B-26089,27,4,1,3
B-26091,29,10,4,3
B-26093,49,5,4,3
B-26097,97,12,2,3
B-26097,14,5,1,3
B-26097,19,8,2,3
B-26099,207,37,4,3
B-25601,80,-56,4,4
B-25609,485,29,4,4
B-25614,98,-12,2,4
B-25617,305,-270,5,4
B-25621,233,-10,5,4
B-25621,228,63,3,4
B-25643,263,-63,2,4
B-25643,36,-7,1,4
B-25650,925,-447,5,4
B-25654,269,-86,2,4
B-25656,624,37,2,4
B-25657,1021,-48,4,4
B-25662,86,-21,1,4
B-25666,934,-916,7,4
B-25676,342,-103,4,4
B-25681,1096,-658,7,4
B-25689,469,-459,3,4
B-25705,46,0,2,4
B-25723,76,-54,3,4
B-25725,144,-7,4,4
B-25734,108,-19,3,4
B-25741,482,-6,7,4
B-25748,47,-21,2,4
B-25751,534,5,2,4
B-25751,221,-15,2,4
B-25752,761,266,9,4
B-25761,328,-15,3,4
B-25761,263,-31,9,4
B-25762,1316,-527,7,4
B-25767,299,-28,3,4
B-25773,209,-21,2,4
B-25778,724,-447,4,4
B-25790,42,-3,1,4
B-25803,269,91,1,4
B-25808,146,-63,3,4
B-25819,417,49,3,4
B-25823,2103,322,8,4
B-25848,648,50,6,4
B-25855,442,31,2,4
B-25858,2457,665,11,4
B-25861,216,-83,3,4
B-25873,367,73,3,4
B-25881,1351,111,6,4
B-25888,646,213,3,4
B-25897,734,213,6,4
B-25898,171,2,2,4
B-25910,850,289,5,4
B-25915,277,3,1,4
B-25919,1599,37,6,4
B-25925,314,-41,3,4
B-25927,200,7,4,4
B-25930,351,-94,5,4
B-25939,469,33,4,4
B-25945,765,-36,3,4
B-25951,50,14,1,4
B-25952,935,114,4,4
B-25953,188,-193,2,4
B-25954,524,-25,2,4
B-25954,148,9,1,4
B-25962,312,62,1,4
B-25964,1270,546,11,4
B-25966,510,234,6,4
B-25978,1063,-175,4,4
B-25986,918,22,9,4
B-25997,231,99,2,4
B-25999,51,-49,2,4
B-26004,162,73,2,4
B-26010,527,26,3,4
B-26016,429,61,3,4
B-26016,134,-13,3,4
B-26035,369,15,3,4
B-26051,600,102,5,4
B-26054,559,174,2,4
B-26063,241,-77,4,4
B-26072,313,44,3,4
B-26078,557,111,2,4
B-26084,209,-63,4,4
B-26087,311,40,1,4
B-26097,671,-309,5,4
B-25602,168,-111,2,5
B-25602,424,-272,5,5
B-25602,2617,1151,4,5
B-25621,333,-15,3,5
B-25626,46,-14,1,5
B-25630,143,-129,2,5
B-25633,249,-130,4,5
B-25639,1629,-153,3,5
B-25645,273,-87,4,5
B-25645,183,-66,5,5
B-25648,100,-23,1,5
B-25650,351,-47,8,5
B-25653,427,-50,7,5
B-25653,195,-117,5,5
B-25657,332,-43,6,5
B-25664,444,-200,4,5
B-25664,785,52,2,5
B-25664,258,-27,2,5
B-25678,327,-39,1,5
B-25681,1625,-77,3,5
B-25682,545,-73,11,5
B-25683,245,-3,4,5
B-25685,529,137,3,5
B-25693,68,-30,1,5
B-25693,72,-49,1,5
B-25696,117,-6,3,5
B-25697,73,-7,1,5
B-25698,65,-16,2,5
B-25704,102,0,3,5
B-25708,709,-100,5,5
B-25712,193,-275,3,5
B-25715,416,137,3,5
B-25721,149,-40,2,5
B-25728,771,-424,2,5
B-25729,1549,-439,4,5
B-25730,1145,-706,3,5
B-25738,148,-91,2,5
B-25748,224,58,3,5
B-25751,68,-56,2,5
B-25751,106,0,2,5
B-25756,465,-33,4,5
B-25761,418,70,7,5
B-25764,765,-153,2,5
B-25780,137,-41,3,5
B-25795,276,-21,2,5
B-25825,911,355,5,5
B-25830,1063,64,7,5
B-25830,1954,782,3,5
B-25845,274,-7,4,5
B-25849,336,123,3,5
B-25850,916,192,11,5
B-25868,62,-1,1,5
B-25873,1275,357,2,5
B-25886,502,84,4,5
B-25888,223,4,3,5
B-25900,210,62,2,5
B-25903,336,57,2,5
B-25909,1622,248,3,5
B-25909,323,122,5,5
B-25919,977,244,7,5
B-25923,3873,891,6,5
B-25946,146,7,2,5
B-25951,248,105,2,5
B-25954,146,66,1,5
B-25955,200,13,5,5
B-25956,474,56,4,5
B-25956,140,28,2,5
B-25959,252,56,2,5
B-25959,637,212,8,5
B-25970,365,107,3,5
B-25981,867,251,5,5
B-25993,414,199,3,5
B-25994,196,-7,5,5
B-25996,333,50,2,5
B-25999,129,11,2,5
B-26022,1824,-1303,8,5
B-26028,1272,547,2,5
B-26035,520,151,3,5
B-26050,487,143,4,5
B-26055,671,114,9,5
B-26056,391,90,6,5
B-26096,451,25,3,5
B-26099,835,267,5,5
B-25602,561,212,3,8
B-25602,119,-5,8,8
B-25603,193,-166,3,8
B-25604,157,5,9,8
B-25605,75,0,7,8
B-25609,25,-5,4,8
B-25610,43,0,3,8
B-25611,160,-59,2,8
B-25613,1603,0,9,8
B-25619,353,90,8,8
B-25622,534,0,3,8
B-25623,149,-87,4,8
B-25625,635,-349,5,8
B-25628,24,-9,4,8
B-25633,711,-8,4,8
B-25635,382,30,3,8
B-25636,637,113,5,8
B-25640,122,-47,4,8
B-25646,20,-8,2,8
B-25647,42,-6,4,8
B-25648,55,-26,4,8
B-25648,130,-41,4,8
B-25650,211,-105,2,8
B-25650,31,-2,2,8
B-25650,512,-225,5,8
B-25650,238,20,2,8
B-25651,23,4,1,8
B-25651,457,-41,4,8
B-25652,206,-206,3,8
B-25653,28,-3,2,8
B-25654,229,-23,2,8
B-25654,54,-3,3,8
B-25655,396,-31,9,8
B-25655,110,-68,4,8
B-25656,534,0,3,8
B-25656,61,-23,2,8
B-25656,406,126,2,8
B-25656,1389,680,7,8
B-25657,32,-22,5,8
B-25660,245,-78,3,8
B-25667,344,-34,3,8
B-25673,143,-124,5,8
B-25673,44,-17,5,8
B-25673,16,-1,1,8
B-25675,929,-93,9,8
B-25678,64,-7,3,8
B-25679,76,-50,1,8
B-25680,73,-25,3,8
B-25681,44,-3,1,8
B-25683,86,-55,6,8
B-25686,381,-13,2,8
B-25687,357,139,2,8
B-25687,387,-213,5,8
B-25688,352,-345,5,8
B-25691,714,56,4,8
B-25693,632,-316,6,8
B-25693,32,-16,6,8
B-25696,116,-4,1,8
B-25696,275,-275,4,8
B-25696,168,-9,3,8
B-25698,207,-153,3,8
B-25702,31,-3,4,8
B-25702,306,-147,3,8
B-25703,97,-45,4,8
B-25703,47,-27,4,8
B-25709,33,-12,7,8
B-25716,58,0,4,8
B-25717,561,212,3,8
B-25717,138,-3,5,8
B-25728,322,-113,4,8
B-25738,72,-6,3,8
B-25738,1069,0,6,8
B-25740,58,-8,2,8
B-25743,143,-124,5,8
B-25743,9,-5,1,8
B-25745,296,-225,11,8
B-25746,87,16,2,8
B-25750,208,-25,2,8
B-25750,20,-18,2,8
B-25751,43,-5,2,8
B-25754,30,-23,2,8
B-25754,319,-312,5,8
B-25755,37,-53,3,8
B-25755,321,-315,5,8
B-25755,27,4,2,8
B-25761,40,0,3,8
B-25761,102,-90,1,8
B-25762,98,-5,2,8
B-25764,24,-24,2,8
B-25766,220,-19,2,8
B-25767,29,-3,3,8
B-25767,48,-22,2,8
B-25769,355,-4,2,8
B-25773,85,-9,4,8
B-25773,24,-14,2,8
B-25778,109,-6,6,8
B-25778,933,166,5,8
B-25785,595,292,3,8
B-25785,192,-146,3,8
B-25785,26,-25,3,8
B-25787,556,-209,7,8
B-25791,253,-63,2,8
B-25791,565,66,7,8
B-25791,175,77,3,8
B-25793,257,-252,4,8
B-25793,1402,109,11,8
B-25796,37,-6,1,8
B-25796,632,-316,6,8
B-25796,148,0,3,8
B-25797,89,-4,5,8
B-25798,379,63,2,8
B-25799,205,-119,3,8
B-25799,47,-27,4,8
B-25801,64,6,4,8
B-25802,27,-7,5,8
B-25803,765,8,6,8
B-25810,1120,199,6,8
B-25814,462,169,4,8
B-25822,34,13,2,8
B-25825,140,6,5,8
B-25828,537,107,3,8
B-25828,128,-3,3,8
B-25828,222,35,5,8
B-25830,54,1,2,8
B-25831,693,254,6,8
B-25839,1250,486,7,8
B-25840,262,64,6,8
B-25844,86,8,2,8
B-25850,485,199,4,8
B-25851,103,46,2,8
B-25851,62,1,3,8
B-25853,19,6,2,8
B-25853,128,4,3,8
B-25854,53,-2,3,8
B-25854,381,144,2,8
B-25855,1027,441,8,8
B-25856,689,90,5,8
B-25856,257,3,2,8
B-25856,48,6,1,8
B-25858,16,0,1,8
B-25858,245,30,2,8
B-25861,128,4,3,8
B-25865,85,-1,3,8
B-25869,86,9,3,8
B-25870,845,84,7,8
B-25875,248,8,2,8
B-25890,465,207,9,8
B-25893,149,15,3,8
B-25898,499,33,4,8
B-25899,43,17,1,8
B-25902,79,6,7,8
B-25909,168,56,3,8
B-25933,412,-412,6,8
B-25933,207,-100,2,8
B-25934,105,33,6,8
B-25936,61,25,4,8
B-25943,149,15,3,8
B-25944,169,38,3,8
B-25945,60,3,3,8
B-25950,136,-33,5,8
B-25952,147,48,3,8
B-25954,891,0,5,8
B-25955,39,2,2,8
B-25957,16,2,1,8
B-25958,360,32,3,8
B-25964,89,6,5,8
B-25967,229,59,9,8
B-25979,560,44,3,8
B-25981,54,12,3,8
B-25983,230,5,2,8
B-25990,71,32,3,8
B-25996,18,4,1,8
B-25999,152,-3,5,8
B-25999,215,-30,2,8
B-26002,276,52,5,8
B-26002,141,7,7,8
B-26002,113,28,2,8
B-26003,498,-116,4,8
B-26004,147,44,3,8
B-26008,10,-1,1,8
B-26012,21,8,2,8
B-26015,128,55,1,8
B-26032,47,15,5,8
B-26035,291,119,11,8
B-26045,179,77,1,8
B-26050,169,55,4,8
B-26050,79,32,3,8
B-26051,382,119,2,8
B-26052,145,0,3,8
B-26053,425,208,7,8
B-26054,88,20,2,8
B-26055,43,11,1,8
B-26056,424,161,2,8
B-26060,382,68,3,8
B-26061,642,180,5,8
B-26064,22,0,2,8
B-26066,86,22,2,8
B-26067,1120,199,6,8
B-26073,29,9,3,8
B-26076,19,4,2,8
B-26081,93,-84,3,8
B-26081,637,50,5,8
B-26083,34,3,3,8
B-26085,86,22,2,8
B-26085,132,-10,3,8
B-26087,119,56,7,8
B-26093,33,-1,1,8
B-26093,148,25,3,8
B-26096,103,46,2,8
B-26098,409,86,3,8
B-25603,1355,-60,5,10
B-25603,180,5,3,10
B-25629,1560,421,3,10
B-25633,496,-79,2,10
B-25640,68,-62,2,10
B-25650,269,111,3,10
B-25655,97,-62,2,10
B-25671,832,0,3,10
B-25676,1263,-56,5,10
B-25681,523,204,7,10
B-25697,115,-39,3,10
B-25727,327,114,4,10
B-25737,187,-15,3,10
B-25743,503,-56,2,10
B-25753,341,-85,6,10
B-25755,1709,564,3,10
B-25757,3151,-35,7,10
B-25768,1582,-443,6,10
B-25781,767,-353,5,10
B-25796,559,-19,2,10
B-25803,106,12,3,10
B-25803,536,91,1,10
B-25850,117,36,2,10
B-25876,282,14,4,10
B-25877,1137,568,2,10
B-25881,2244,247,4,10
B-25902,1700,85,3,10
B-25910,685,7,7,10
B-25923,253,-11,1,10
B-25949,140,57,2,10
B-25951,250,100,3,10
B-25952,352,18,5,10
B-26040,833,93,3,10
B-26048,1104,209,4,10
B-26057,224,87,3,10
B-26070,75,29,1,10
B-26085,1487,624,3,10
B-26096,264,-26,3,10
B-26099,2366,552,5,10
B-25603,24,-30,1,11
B-25608,476,0,3,11
B-25612,259,-55,2,11
B-25626,1103,-276,3,11
B-25634,389,-83,3,11
B-25651,172,-103,3,11
B-25651,823,-18,7,11
B-25653,1327,318,8,11
B-25655,312,-312,7,11
B-25657,288,-180,4,11
B-25661,224,-81,3,11
B-25661,58,-42,2,11
B-25661,145,-104,5,11
B-25661,55,-33,2,11
B-25681,243,-14,2,11
B-25684,134,42,2,11
B-25698,516,-392,8,11
B-25701,98,-45,2,11
B-25702,424,-17,9,11
B-25709,41,-6,1,11
B-25713,158,-63,4,11
B-25717,55,-33,2,11
B-25720,30,-35,1,11
B-25730,473,42,4,11
B-25730,83,-81,3,11
B-25739,133,-56,2,11
B-25750,212,-24,2,11
B-25752,33,-27,1,11
B-25755,134,-34,2,11
B-25763,58,-52,3,11
B-25770,287,-280,12,11
B-25773,248,-70,3,11
B-25773,224,-143,3,11
B-25782,335,-22,7,11
B-25796,239,-162,5,11
B-25797,413,-314,9,11
B-25799,45,-15,2,11
B-25803,511,194,3,11
B-25805,112,15,2,11
B-25813,911,202,7,11
B-25820,119,1,1,11
B-25827,156,21,3,11
B-25853,2093,721,5,11
B-25877,269,33,5,11
B-25878,719,303,6,11
B-25881,2115,23,5,11
B-25885,734,248,2,11
B-25899,846,9,2,11
B-25904,83,12,2,11
B-25914,460,143,3,11
B-25924,148,54,2,11
B-25925,1228,14,3,11
B-25929,216,-135,3,11
B-25929,154,-85,3,11
B-25931,73,-36,3,11
B-25935,162,20,3,11
B-25935,1657,460,4,11
B-25952,173,69,3,11
B-25959,681,259,4,11
B-25959,429,17,3,11
B-25964,346,108,3,11
B-25983,32,-12,1,11
B-25991,90,30,2,11
B-26000,597,93,4,11
B-26003,315,-8,3,11
B-26014,406,97,7,11
B-26014,278,39,5,11
B-26017,78,7,1,11
B-26048,401,13,6,11
B-26053,120,1,1,11
B-26055,5729,64,14,11
B-26097,185,-26,6,11
B-26098,497,179,3,11
B-26100,828,230,2,11
B-25603,38,18,1,17
B-25630,114,-39,5,17
B-25630,42,-26,2,17
B-25687,14,-1,4,17
B-25696,44,7,3,17
B-25698,87,-83,5,17
B-25703,22,-15,4,17
B-25751,10,-8,1,17
B-25753,62,-56,5,17
B-25754,72,-46,7,17
B-25764,26,0,2,17
B-25767,9,-9,2,17
B-25776,47,-20,2,17
B-25777,69,-67,4,17
B-25777,117,17,6,17
B-25781,25,-1,4,17
B-25789,30,0,1,17
B-25793,63,-24,6,17
B-25818,36,0,4,17
B-25845,82,33,4,17
B-25851,135,54,5,17
B-25852,105,33,5,17
B-25860,112,24,3,17
B-25867,240,12,6,17
B-25870,10,4,1,17
B-25873,42,12,2,17
B-25879,57,28,2,17
B-25889,31,10,1,17
B-25889,119,43,7,17
B-25893,61,11,3,17
B-25896,42,7,2,17
B-25896,287,66,6,17
B-25908,179,25,5,17
B-25911,40,15,1,17
B-25951,30,5,2,17
B-25959,32,2,2,17
B-25979,82,27,3,17
B-25980,22,11,3,17
B-25985,197,20,4,17
B-26026,25,2,3,17
B-26052,78,28,6,17
B-26052,148,23,4,17
B-26056,19,-18,4,17
B-26069,55,18,2,17
B-26089,59,24,6,17
B-26089,139,14,3,17
B-26095,6,1,1,17
B-25604,65,17,2,18
B-25630,34,-22,4,18
B-25645,86,0,4,18
B-25648,30,13,1,18
B-25651,16,-10,2,18
B-25658,27,9,2,18
B-25659,148,72,7,18
B-25662,24,-2,2,18
B-25673,37,-5,3,18
B-25687,51,21,3,18
B-25693,82,-39,5,18
B-25694,167,43,7,18
B-25710,53,-18,4,18
B-25710,13,-8,1,18
B-25752,91,15,6,18
B-25753,107,31,5,18
B-25753,154,22,7,18
B-25757,34,-11,5,18
B-25764,119,43,5,18
B-25777,59,-46,7,18
B-25781,30,-25,2,18
B-25785,45,0,2,18
B-25801,15,-2,1,18
B-25804,156,36,5,18
B-25814,118,35,7,18
B-25850,45,1,3,18
B-25851,57,27,2,18
B-25851,90,29,5,18
B-25851,237,47,9,18
B-25874,124,54,5,18
B-25878,84,41,3,18
B-25886,63,1,4,18
B-25889,114,11,4,18
B-25896,190,68,8,18
B-25898,53,5,3,18
B-25900,140,68,5,18
B-25901,90,27,2,18
B-25912,102,11,6,18
